"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"J12";"Pin_Header_Straight_1x03_Pitch2.54mm";1;"Conn_01x04";;;
2;"J11";"Pin_Header_Straight_1x04_Pitch2.54mm";1;"Conn_01x04";;;
3;"J8";"Pin_Header_Straight_1x15_Pitch1.27mm";1;"Conn_01x15";;;
4;"J7";"Pin_Header_Straight_1x12_Pitch1.27mm";1;"Conn_01x12";;;
5;"J6";"Pin_Header_Straight_1x14_Pitch1.27mm";1;"Conn_01x14";;;
6;"J9";"mkds_1,5-3";1;"SSR";;;
7;"J2";"mkds_1,5-3";1;"WS2812";;;
8;"J3";"mkds_1,5-4";1;"FAN_PWM";;;
9;"J5";"mkds_1,5-2";1;"PURFUME";;;
10;"J1";"mkds_1,5-2";1;"Conn_01x02";;;
11;"J4";"mkds_1,5-2";1;"SSR";;;
12;"U2";"OMRON-G3MB-202P";1;"OMRON-G3MB-202P";;;
13;"C1";"CP_Elec_10x10.5";1;"CP1000uf,10V";;;
14;"C19,C18,C17,C15,C16";"C_0805_2012Metric_Pad1.15x1.40mm_HandSolder";5;"C104";;;
15;"D5,D4,D2";"LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder";3;"LED_GREEN";;;
16;"R14,R15";"R_0805_2012Metric_Pad1.15x1.40mm_HandSolder";2;"R102";;;
17;"J10";"TE_84952-8_1x08-1MP_P1.0mm_Horizontal";1;"Conn_01x08";;;
18;"U5";"SOP-16_4.4x10.4mm_Pitch1.27mm";1;"SP3232EEN";;;
19;"U1";"SOT-23-5_HandSoldering";1;"74AHCT1G125";;;
20;"Q3,Q2";"SOT-23_Handsoldering";2;"SS9013_J3";;;
21;"BOOT0,BOOT1";"SolderJumper-3_P2.0mm_Open_TrianglePad1.0x1.5mm";2;"JUMPER";;;
22;"Q1";"SOT-23_Handsoldering";1;"2N3904(1AM)";;;
23;"Y2";"Crystal_SMD_MicroCrystal_CC7V-T1A-2Pin_3.2x1.5mm_HandSoldering";1;"O32.768K";;;
24;"Y1";"hc-49_smd";1;"O8M";;;
25;"SW1";"SW_SPST_CK_RS282G05A3";1;"SW_Push";;;
26;"C2,C3,C4,C5,C6";"C_0603_1608Metric_Pad1.05x0.95mm_HandSolder";5;"C104";;;
27;"C9,C10";"C_0603_1608Metric_Pad1.05x0.95mm_HandSolder";2;"C105";;;
28;"C11,C12,C13,C14";"C_0603_1608Metric_Pad1.05x0.95mm_HandSolder";4;"C20pf";;;
29;"C7,C8";"CP_EIA-3216-12_Kemet-S_Pad1.58x1.35mm_HandSolder";2;"TC106,10V";;;
30;"JP1";"SolderJumper-2_P1.3mm_Open_TrianglePad1.0x1.5mm";1;"Jumper_NO_Small";;;
31;"D3";"LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder";1;"LED_ORANGE";;;
32;"D1";"LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder";1;"LED_BLUE";;;
33;"U3";"LQFP-48_7x7mm_P0.5mm";1;"STM32F103C8T6";;;
34;"U4";"SOT-223-3_TabPin2";1;"AMS1117-3.3";;;
35;"R12,R2";"R_0805_2012Metric_Pad1.15x1.40mm_HandSolder";2;"R103";;;
36;"R3,R8,R1";"R_0805_2012Metric_Pad1.15x1.40mm_HandSolder";3;"R331";;;
37;"R4";"R_0805_2012Metric_Pad1.15x1.40mm_HandSolder";1;"R151";;;
38;"R5,R7";"R_0805_2012Metric_Pad1.15x1.40mm_HandSolder";2;"R471";;;
39;"R6";"R_0805_2012Metric_Pad1.15x1.40mm_HandSolder";1;"R101";;;
40;"R13,R11";"R_0805_2012Metric_Pad1.15x1.40mm_HandSolder";2;"R511";;;
41;"R10,R9";"R_0805_2012Metric_Pad1.15x1.40mm_HandSolder";2;"R104";;;
